                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87913,                 3.8251,                 1.4259,                0.24898,                0.35913,                0.21244,                0.15091,                 0.9011,                 2.3934,                 1.5735,              0.0033317,              0.0033317,              0.0033317
                      2,                0.87756,                  2.654,                 1.3907,                0.31288,                 0.4429,                 0.3229,                0.21568,                 1.0239,                 2.1398,                 1.7067,              0.0065991,              0.0065991,              0.0065991
                      3,                0.96011,                 2.5887,                 1.4425,                0.31508,                0.40388,                0.32091,                0.21112,                 1.0835,                 2.1181,                 1.7269,              0.0098004,              0.0098004,              0.0098004
                      4,                0.99162,                 2.5565,                 1.4596,                0.42322,                0.49613,                0.43289,                0.29723,                0.98932,                 1.8262,                 1.6308,               0.009703,               0.009703,               0.009703
                      5,                 0.9453,                 2.3515,                 1.4196,                0.48246,                 0.5476,                0.52646,                 0.3771,                0.94647,                 1.5515,                 1.5741,               0.009604,               0.009604,               0.009604
                      6,                0.91294,                 2.1966,                 1.3962,                0.53092,                0.59429,                0.59403,                0.43743,                0.86406,                 1.3962,                 1.4959,               0.009505,               0.009505,               0.009505
                      7,                0.89464,                 2.0958,                 1.3812,                0.57905,                0.63138,                0.64373,                0.47757,                0.85672,                  1.272,                 1.4686,               0.009406,               0.009406,               0.009406
                      8,                0.87425,                 2.0196,                 1.3652,                0.63058,                0.66152,                0.69232,                0.52154,                0.82276,                 1.1576,                   1.44,               0.009307,               0.009307,               0.009307
                      9,                0.85857,                 1.9488,                 1.3549,                0.63757,                 0.6883,                0.71654,                0.54271,                0.79102,                 1.0991,                 1.4273,               0.009208,               0.009208,               0.009208
                     10,                0.84359,                 1.8814,                  1.343,                0.66933,                0.69732,                0.74249,                0.57231,                0.77484,                  1.049,                 1.3847,               0.009109,               0.009109,               0.009109
                     11,                0.84174,                 1.8421,                 1.3414,                0.70794,                0.71197,                0.76535,                 0.5946,                0.75773,                0.98396,                 1.3725,                0.00901,                0.00901,                0.00901
                     12,                0.82997,                 1.7979,                 1.3327,                0.72912,                0.73512,                0.79202,                 0.6167,                0.75064,                 0.9247,                 1.3603,               0.008911,               0.008911,               0.008911
                     13,                0.81895,                  1.758,                 1.3249,                0.73742,                0.74589,                0.80581,                0.63403,                 0.7312,                0.89307,                 1.3392,               0.008812,               0.008812,               0.008812
